Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712809106.32,0,0,29.5,0.0,0.0,0.0,26.74484375,33.8506082915969,1007.0679747598825,51.597189861849074,24132.5
1712809108.29,0,0,25.0,0.0,0.0,0.0,26.83380859375,33.655801697047835,1007.067952266927,51.597378056512404,35823.5
1712809110.31,0,0,25.0,0.0,0.0,0.0,26.90060546875,33.4929200611091,1007.0723397424283,51.56066791408523,47438.0
1712809112.29,0,0,31.0,0.0,0.0,0.0,26.943671875,33.40680695716749,1007.0621944578118,51.64555414083415,58285.5
1712809114.32,0,0,37.0,0.0,0.0,0.0,26.9784375,33.33403382789629,1007.0433945579866,51.802855459512486,69229.0
1712809116.29,0,0,26.5,0.0,0.0,0.0,27.0055859375,33.24650188632647,1007.0558401630817,51.6987210421295,79048.0
1712809118.32,0,0,39.5,0.0,0.0,0.0,27.0262890625,33.13871882318551,1007.0618654793327,51.648306581890665,88316.5
1712809120.25,0,0,39.5,0.0,0.0,0.0,27.0262890625,33.13871882318551,1007.0618654793327,51.648306581890665,88316.5
1712809122.33,0,0,35.5,0.0,0.0,0.0,27.045234375,33.03646322899356,1007.07185537656,51.56472061068149,96092.5
1712809124.3,0,0,34.5,0.0,0.0,0.0,27.0594921875,32.94507007370254,1007.068876339893,51.58964631505519,103084.0
1712809126.32,0,0,43.5,0.0,0.0,0.0,27.071308593749997,32.87034574547702,1007.0661411489754,51.61253176976044,109975.0
1712809128.3,0,0,31.5,0.0,0.0,0.0,27.0821484375,32.79837252272357,1007.0686717021058,51.591358519339956,116752.0
1712809130.34,0,0,31.5,0.0,0.0,0.0,27.0938671875,32.72651304168478,1007.061465531156,51.651652975948494,123173.0
1712809132.29,0,0,33.5,0.0,0.0,0.0,27.1032421875,32.67970363549838,1007.0563891164311,51.6941278594173,128914.0
1712809134.32,0,0,38.5,0.0,0.0,0.0,27.11203125,32.63846054262733,1007.0598133543444,51.665476903258195,134116.0
1712809136.29,0,0,33.0,0.0,0.0,0.0,27.11984375,32.60554506872112,1007.0512749312722,51.73691895053911,139417.5
1712809138.33,0,0,26.5,0.0,0.0,0.0,27.12716796875,32.59501085890851,1007.0634606668889,51.634959783343874,143787.5
1712809140.27,0,0,26.5,0.0,0.0,0.0,27.136347656250003,32.57624149905706,1007.0804564364446,51.49275566337981,147066.0
1712809142.32,0,0,33.5,0.0,0.0,0.0,27.14455078125,32.55177968557433,1007.0794589978727,51.501101200367685,151314.0
1712809144.3,0,0,39.0,0.0,0.0,0.0,27.15236328125,32.541293497873504,1007.0760883183759,51.5293035806404,155314.0
1712809146.32,0,0,31.0,0.0,0.0,0.0,27.157734375,32.51937652464427,1007.0738246152046,51.54824402549824,158846.0
1712809148.27,0,0,31.0,0.0,0.0,0.0,27.1649609375,32.51724184230689,1007.0712015699389,51.57019102984145,161450.0
1712809150.32,0,0,38.0,0.0,0.0,0.0,27.17482421875,32.51254917513447,1007.0764110564135,51.52660324221132,164619.5
1712809152.29,0,0,37.0,0.0,0.0,0.0,27.1844921875,32.49943490303531,1007.0735413397719,51.55061414020322,167089.5
1712809154.32,0,0,35.5,0.0,0.0,0.0,27.191523437500003,32.50008326853432,1007.0792080383773,51.50320095620532,170403.0
1712809156.29,0,0,38.0,0.0,0.0,0.0,27.2003125,32.4924905437656,1007.0791832570151,51.50340830488816,173395.5
1712809158.3,0,0,38.0,0.0,0.0,0.0,27.20724609375,32.49312994291064,1007.0838256120887,51.464565943921905,174845.5
1712809160.3,0,0,39.0,0.0,0.0,0.0,27.21544921875,32.49388745954806,1007.0845486895942,51.458516001611905,178196.5
1712809162.32,0,0,33.5,0.0,0.0,0.0,27.223750000000003,32.491851070268254,1007.0656169940331,51.61691739153022,179145.0
1712809164.29,0,0,38.5,0.0,0.0,0.0,27.231953125,32.47860228507665,1007.0559998453869,51.697384969792886,181277.0
1712809166.3,0,0,38.5,0.0,0.0,0.0,27.2409375,32.47662976432555,1007.0537131910745,51.71651767826229,184268.5
1712809168.29,0,0,32.0,0.0,0.0,0.0,27.250605468750003,32.4663175680653,1007.0473934175448,51.769396228155564,185700.5
1712809170.3,0,0,32.0,0.0,0.0,0.0,27.250605468750003,32.4663175680653,1007.0473934175448,51.769396228155564,185700.5
1712809172.29,0,0,30.0,0.0,0.0,0.0,27.26154296875,32.44772106012336,1007.0414615420706,51.81902943184543,186011.5
1712809174.32,0,0,30.5,0.0,0.0,0.0,27.268671875,32.44277696281721,1007.0378102720688,51.84958044109325,187600.5
1712809176.29,0,0,30.5,0.0,0.0,0.0,27.2774609375,32.41558433933501,1007.0351968796587,51.871447413971616,189267.5
1712809178.32,0,0,34.5,0.0,0.0,0.0,27.287128906249997,32.40527484445548,1007.0435235990815,51.80177575338672,191192.0
1712809180.3,0,0,29.5,0.0,0.0,0.0,27.29513671875,32.383614732767356,1007.0490886635121,51.75521184044384,192701.5
1712809182.32,0,0,43.5,0.0,0.0,0.0,27.30236328125,32.3786808812376,1007.0533540205042,51.71952290558853,194640.5
1712809184.29,0,0,37.5,0.0,0.0,0.0,27.311152343750003,32.36829214577004,1007.0429838726678,51.80629174861848,194925.0
1712809186.3,0,0,37.5,0.0,0.0,0.0,27.32013671875,32.36631978107141,1007.0406935686966,51.82545523036005,196377.5
1712809188.29,0,0,32.5,0.0,0.0,0.0,27.32716796875,32.36136794992572,1007.0437715779968,51.7997008641849,197555.5
1712809190.32,0,0,30.0,0.0,0.0,0.0,27.3352734375,32.34531901814815,1007.0589772682786,51.67247270204844,199288.5
